"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"BUI","BUI","TJS","DTD","ARD","TJG","0","A400M"
"SEH","DTD","BEJ","TKG","SMQ","SEH","cant complete trip","C212"
"TJS","BEJ","TJG","HLP","LUV","TJS","cant complete trip","V22"
"DTD","TJG","SMQ","NTX","ARD","DTD","cant complete trip","BB1"
"BEJ","SMQ","LUV","PSU","TKG","BEJ","cant complete trip","BA10"
"TJG","LUV","ARD","SQG","HLP","TJG","cant complete trip","SIS99"
"SMQ","ARD","TKG","PDO","NTX","SMQ","cant complete trip","SAH"
"LUV","LUV","TKG","HLP","LSW","PSU","0","A319"
"ARD","ARD","HLP","NTX","KBU","SQG","0","A320"
"TKG","TKG","NTX","PSU","LBW","PDO","0","A321"
"HLP","HLP","PSU","SQG","NNX","LSW","0","A330"
"NTX","NTX","SQG","PDO","LPU","KBU","0","737"
"PSU","PSU","PDO","LSW","MWK","LBW","0","747"
"SQG","SQG","LSW","KBU","TTR","NNX","0","757"
"PDO","PDO","KBU","LBW","NDA","LPU","0","767"
"LSW","LSW","LBW","NNX","LOP","MWK","0","777"
"KBU","KBU","NNX","LPU","PUM","TTR","0","BAE146"
"LBW","LBW","LPU","MWK","MJU","NDA","0","DC8"
"NNX","MWK","TTR","WAR","LOP","NNX","cant complete trip","F50"
"LPU","LPU","TTR","NDA","ABD","PUM","0","MD11"
"MWK","NDA","LOP","QMJ","MJU","MWK","cant complete trip","A400M"
"TTR","LOP","PUM","MRX","WAR","TTR","cant complete trip","C212"
"NDA","PUM","MJU","AWZ","ABD","NDA","cant complete trip","V22"
"LOP","MJU","WAR","BUZ","QMJ","LOP","cant complete trip","BB1"
"PUM","WAR","ABD","KIH","MRX","PUM","cant complete trip","BA10"
"MJU","ABD","QMJ","BDH","AWZ","MJU","cant complete trip","SIS99"
"WAR","QMJ","MRX","KSH","BUZ","WAR","cant complete trip","SAH"
"ABD","ABD","MRX","AWZ","SDG","KIH","0","A319"
"QMJ","QMJ","AWZ","BUZ","RAS","BDH","0","A320"
"MRX","MRX","BUZ","KIH","THR","KSH","0","A321"
"AWZ","AWZ","KIH","BDH","BND","SDG","0","A330"
"BUZ","BUZ","BDH","KSH","KER","RAS","0","737"
"KIH","KIH","KSH","SDG","XBJ","THR","0","747"
"BDH","BDH","SDG","RAS","RZR","BND","0","757"
"KSH","KSH","RAS","THR","SYZ","KER","0","767"
"SDG","SDG","THR","BND","TBZ","XBJ","0","777"
"RAS","RAS","BND","KER","AZD","RZR","0","BAE146"
"THR","THR","KER","XBJ","ZBR","SYZ","0","DC8"
"BND","BND","XBJ","RZR","ZAH","TBZ","0","F50"
"KER","KER","RZR","SYZ","IFN","AZD","0","MD11"
"XBJ","XBJ","SYZ","TBZ","IKA","ZBR","0","A400M"
"RZR","RZR","TBZ","AZD","MHD","ZAH","0","C212"
"SYZ","SYZ","AZD","ZBR","OMH","IFN","0","V22"
"TBZ","TBZ","ADU","ZAH","ZBR","IKA","0","BB1"
"AZD","AZD","ZAH","IFN","LRR","MHD","0","BA10"
"ZBR","ZBR","IFN","IKA","SRY","OMH","cant complete trip","SIS99"
"ZAH","ZAH","IKA","MHD","NSH","ADU","cant complete trip","SAH"
"IFN","IFN","MHD","OMH","AFZ","LRR","0","A319"
"IKA","IKA","OMH","ADU","BJB","SRY","0","A320"
"MHD","MHD","ADU","LRR","RJN","NSH","0","A321"
"OMH","OMH","LRR","SRY","BXR","AFZ","0","A330"
"ADU","ADU","SRY","NSH","KHD","BJB","0","737"
"LRR","LRR","NSH","AFZ","GSM","RJN","0","747"
"SRY","SRY","AFZ","BJB","HDM","BXR","0","757"
"NSH","NSH","BJB","RJN","CQD","KHD","0","767"
"AFZ","AFZ","RJN","BXR","PFQ","GSM","0","777"
"BJB","BJB","BXR","KHD","IIL","HDM","0","BAE146"
"RJN","RJN","KHD","GSM","GBT","CQD","0","DC8"
"BXR","BXR","GSM","HDM","ACP","PFQ","0","F50"
"KHD","KHD","HDM","CQD","PGU","IIL","0","MD11"
"GSM","GSM","CQD","PFQ","YES","GBT","0","A400M"
"HDM","HDM","PFQ","IIL","BSR","ACP","0","C212"
"CQD","CQD","IIL","GBT","KIK","PGU","0","V22"
"PFQ","PFQ","GBT","ACP","EBL","YES","0","BB1"
"IIL","IIL","ACP","PGU","BGW","BSR","0","BA10"
"GBT","GBT","PGU","YES","ISU","KIK","0","SIS99"
"ACP","ACP","YES","BSR","NJF","EBL","0","SAH"
"PGU","PGU","BSR","KIK","OSB","BGW","0","A319"
"YES","YES","KIK","EBL","ISU","ORK","5360","A320"
"BSR","BSR","EBL","BGW","NJF","GWY","5151","A321"
"KIK","KIK","BGW","ISU","OSB","DUB","4395","A330"
"EBL","EBL","ISU","NJF","NOC","ORK","4657","737"
