"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"FKQ","BXB","MKW","GNS","PKU","FKQ","N/A","Not Feasible"
"KNG","MKW","SOQ","PDG","DUM","KNG","N/A","Not Feasible"
"BXB","SOQ","PKU","MES","CGK","BXB","N/A","Not Feasible"
"MKW","PKU","DUM","KTG","GNS","MKW","N/A","Not Feasible"
"SOQ","DUM","CGK","PNK","PDG","SOQ","N/A","Not Feasible"
"PKU","CGK","GNS","DJB","MES","PKU","N/A","Not Feasible"
"DUM","GNS","PDG","BKS","KTG","DUM","N/A","Not Feasible"
"CGK","PDG","MES","PLM","PNK","CGK","N/A","Not Feasible"
"GNS","MES","KTG","RGT","DJB","GNS","N/A","Not Feasible"
"PDG","KTG","PNK","BTJ","BKS","PDG","N/A","Not Feasible"
"MES","PNK","DJB","KDI","PLM","MES","N/A","Not Feasible"
"KTG","DJB","BKS","SBG","RGT","KTG","N/A","Not Feasible"
"PNK","BKS","PLM","MLG","BTJ","PNK","N/A","Not Feasible"
"DJB","PLM","RGT","BDO","KDI","DJB","N/A","Not Feasible"
"BKS","RGT","BTJ","CBN","SBG","BKS","N/A","Not Feasible"
"PLM","BTJ","KDI","JOG","MLG","PLM","N/A","Not Feasible"
"RGT","KDI","SBG","CXP","BDO","RGT","N/A","Not Feasible"
"BTJ","SBG","MLG","PCB","CBN","BTJ","N/A","Not Feasible"
"KDI","MLG","BDO","SRG","JOG","KDI","N/A","Not Feasible"
"SBG","BDO","CBN","BTH","CXP","SBG","N/A","Not Feasible"
"MLG","CBN","JOG","TJQ","PCB","MLG","N/A","Not Feasible"
"BDO","JOG","CXP","PGK","SRG","BDO","N/A","Not Feasible"
"CBN","CXP","PCB","TNJ","BTH","CBN","N/A","Not Feasible"
"JOG","PCB","SRG","SIQ","TJQ","JOG","N/A","Not Feasible"
"CXP","SRG","BTH","BDJ","PGK","CXP","N/A","Not Feasible"
"PCB","BTH","TJQ","PKN","TNJ","PCB","N/A","Not Feasible"
"SRG","TJQ","PGK","PKY","SIQ","SRG","N/A","Not Feasible"
"BTH","PGK","TNJ","MOF","BDJ","BTH","N/A","Not Feasible"
"TJQ","TNJ","SIQ","ENE","PKN","TJQ","N/A","Not Feasible"
"PGK","SIQ","BDJ","RTG","PKY","PGK","N/A","Not Feasible"
"TNJ","BDJ","PKN","KOE","MOF","TNJ","N/A","Not Feasible"
"SIQ","PKN","PKY","LBJ","ENE","SIQ","N/A","Not Feasible"
"BDJ","PKY","MOF","BPN","RTG","BDJ","N/A","Not Feasible"
"PKN","MOF","ENE","TRK","KOE","PKN","N/A","Not Feasible"
"PKY","ENE","RTG","SRI","LBJ","PKY","N/A","Not Feasible"
"MOF","RTG","KOE","AMI","BPN","MOF","N/A","Not Feasible"
"ENE","KOE","LBJ","BMU","TRK","ENE","N/A","Not Feasible"
"RTG","LBJ","BPN","WGP","SRI","RTG","N/A","Not Feasible"
"KOE","BPN","TRK","SUB","AMI","KOE","N/A","Not Feasible"
"LBJ","TRK","SRI","SOC","BMU","LBJ","N/A","Not Feasible"
"BPN","SRI","AMI","DPS","WGP","BPN","N/A","Not Feasible"
"TRK","AMI","BMU","SWQ","SUB","TRK","N/A","Not Feasible"
"SRI","BMU","WGP","TMC","SOC","SRI","N/A","Not Feasible"
"AMI","WGP","SUB","BUI","DPS","AMI","N/A","Not Feasible"
"BMU","SUB","SOC","SEH","SWQ","BMU","N/A","Not Feasible"
"WGP","SOC","DPS","TJS","TMC","WGP","N/A","Not Feasible"
"SUB","DPS","SWQ","DTD","BUI","SUB","N/A","Not Feasible"
"SOC","SWQ","TMC","BEJ","SEH","SOC","N/A","Not Feasible"
"DPS","TMC","BUI","TJG","TJS","DPS","N/A","Not Feasible"
"SWQ","BUI","SEH","SMQ","DTD","SWQ","N/A","Not Feasible"
"TMC","SEH","TJS","LUV","BEJ","TMC","N/A","Not Feasible"
"BUI","TJS","DTD","ARD","TJG","BUI","N/A","Not Feasible"
"SEH","DTD","BEJ","TKG","SMQ","SEH","N/A","Not Feasible"
"TJS","BEJ","TJG","HLP","LUV","TJS","N/A","Not Feasible"
"DTD","TJG","SMQ","NTX","ARD","DTD","N/A","Not Feasible"
"BEJ","SMQ","LUV","PSU","TKG","BEJ","N/A","Not Feasible"
"TJG","LUV","ARD","SQG","HLP","TJG","N/A","Not Feasible"
"SMQ","ARD","TKG","PDO","NTX","SMQ","N/A","Not Feasible"
"LUV","TKG","HLP","LSW","PSU","LUV","N/A","Not Feasible"
"ARD","HLP","NTX","KBU","SQG","ARD","N/A","Not Feasible"
"TKG","NTX","PSU","LBW","PDO","TKG","N/A","Not Feasible"
"HLP","PSU","SQG","NNX","LSW","HLP","N/A","Not Feasible"
"NTX","SQG","PDO","LPU","KBU","NTX","N/A","Not Feasible"
"PSU","PDO","LSW","MWK","LBW","PSU","N/A","Not Feasible"
"SQG","LSW","KBU","TTR","NNX","SQG","N/A","Not Feasible"
"PDO","KBU","LBW","NDA","LPU","PDO","N/A","Not Feasible"
"LSW","LBW","NNX","LOP","MWK","LSW","N/A","Not Feasible"
"KBU","NNX","LPU","PUM","TTR","KBU","N/A","Not Feasible"
"LBW","LPU","MWK","MJU","NDA","LBW","N/A","Not Feasible"
"NNX","MWK","TTR","WAR","LOP","NNX","N/A","Not Feasible"
"LPU","TTR","NDA","ABD","PUM","LPU","N/A","Not Feasible"
"MWK","NDA","LOP","QMJ","MJU","MWK","N/A","Not Feasible"
"TTR","LOP","PUM","MRX","WAR","TTR","N/A","Not Feasible"
"NDA","PUM","MJU","AWZ","ABD","NDA","N/A","Not Feasible"
"LOP","MJU","WAR","BUZ","QMJ","LOP","N/A","Not Feasible"
"PUM","WAR","ABD","KIH","MRX","PUM","N/A","Not Feasible"
"MJU","ABD","QMJ","BDH","AWZ","MJU","N/A","Not Feasible"
"WAR","QMJ","MRX","KSH","BUZ","WAR","N/A","Not Feasible"
"ABD","MRX","AWZ","SDG","KIH","ABD","N/A","Not Feasible"
"QMJ","AWZ","BUZ","RAS","BDH","QMJ","N/A","Not Feasible"
"MRX","BUZ","KIH","THR","KSH","MRX","N/A","Not Feasible"
"AWZ","KIH","BDH","BND","SDG","AWZ","N/A","Not Feasible"
"BUZ","BDH","KSH","KER","RAS","BUZ","N/A","Not Feasible"
"KIH","KSH","SDG","XBJ","THR","KIH","N/A","Not Feasible"
"BDH","SDG","RAS","RZR","BND","BDH","N/A","Not Feasible"
"KSH","RAS","THR","SYZ","KER","KSH","N/A","Not Feasible"
"SDG","THR","BND","TBZ","XBJ","SDG","N/A","Not Feasible"
"RAS","BND","KER","AZD","RZR","RAS","N/A","Not Feasible"
"THR","KER","XBJ","ZBR","SYZ","THR","N/A","Not Feasible"
"BND","XBJ","RZR","ZAH","TBZ","BND","N/A","Not Feasible"
"KER","RZR","SYZ","IFN","AZD","KER","N/A","Not Feasible"
"XBJ","SYZ","TBZ","IKA","ZBR","XBJ","N/A","Not Feasible"
"RZR","TBZ","AZD","MHD","ZAH","RZR","N/A","Not Feasible"
"SYZ","AZD","ZBR","OMH","IFN","SYZ","N/A","Not Feasible"
"TBZ","ZBR","ZAH","ADU","IKA","TBZ","N/A","Not Feasible"
"AZD","ZAH","IFN","LRR","MHD","AZD","N/A","Not Feasible"
"ZBR","IFN","IKA","SRY","OMH","ZBR","N/A","Not Feasible"
"ZAH","IKA","MHD","NSH","ADU","ZAH","N/A","Not Feasible"
"IFN","MHD","OMH","AFZ","LRR","IFN","N/A","Not Feasible"
"IKA","OMH","ADU","BJB","SRY","IKA","N/A","Not Feasible"
"MHD","ADU","LRR","RJN","NSH","MHD","N/A","Not Feasible"
"OMH","LRR","SRY","BXR","AFZ","OMH","N/A","Not Feasible"
"ADU","SRY","NSH","KHD","BJB","ADU","N/A","Not Feasible"
"LRR","NSH","AFZ","GSM","RJN","LRR","N/A","Not Feasible"
"SRY","AFZ","BJB","HDM","BXR","SRY","N/A","Not Feasible"
"NSH","BJB","RJN","CQD","KHD","NSH","N/A","Not Feasible"
"AFZ","RJN","BXR","PFQ","GSM","AFZ","N/A","Not Feasible"
"BJB","BXR","KHD","IIL","HDM","BJB","N/A","Not Feasible"
"RJN","KHD","GSM","GBT","CQD","RJN","N/A","Not Feasible"
"BXR","GSM","HDM","ACP","PFQ","BXR","N/A","Not Feasible"
"KHD","HDM","CQD","PGU","IIL","KHD","N/A","Not Feasible"
"GSM","CQD","PFQ","YES","GBT","GSM","N/A","Not Feasible"
"HDM","PFQ","IIL","BSR","ACP","HDM","N/A","Not Feasible"
"CQD","IIL","GBT","KIK","PGU","CQD","N/A","Not Feasible"
"PFQ","GBT","ACP","EBL","YES","PFQ","N/A","Not Feasible"
"IIL","ACP","PGU","BGW","BSR","IIL","N/A","Not Feasible"
"GBT","PGU","YES","ISU","KIK","GBT","N/A","Not Feasible"
"ACP","YES","BSR","NJF","EBL","ACP","N/A","Not Feasible"
"PGU","BSR","KIK","BGW","OSB","PGU","1","A319"
"YES","ORK","EBL","KIK","ISU","YES","4423","A320"
"BSR","BGW","GWY","EBL","NJF","BSR","4464","A321"
"KIK","BGW","ISU","DUB","OSB","KIK","4229","A330"
"EBL","ISU","NJF","NOC","ORK","EBL","4657","737"
"BGW","KIR","GWY","OSB","NJF","BGW","4535","747"
"ISU","ORK","SNN","DUB","OSB","ISU","4523","757"
"NJF","SXL","NOC","GWY","ORK","NJF","5047","767"
"OSB","GWY","KIR","WAT","DUB","OSB","4672","777"
"ORK","DUB","CFN","NOC","SNN","ORK","818","BAE146"
"GWY","NOC","SXL","IOR","KIR","GWY","491","DC8"
"DUB","NNR","SNN","KIR","WAT","DUB","665","F50"
"NOC","SNN","INQ","CFN","SXL","NOC","551","MD11"
"KIR","WAT","SXL","IOR","IIA","KIR","672","A400M"
"SNN","BYT","WAT","CFN","NNR","SNN","906","C212"
"SXL","CFN","IOR","CHE","INQ","SXL","734","V22"
"WAT","IIA","IOR","NNR","IOM","WAT","924","BB1"
"CFN","NNR","INQ","TLV","BYT","CFN","N/A","Not Feasible"
"IOR","INQ","IIA","BEV","CHE","IOR","N/A","Not Feasible"
"NNR","IIA","BYT","ETH","IOM","NNR","N/A","Not Feasible"
"INQ","BYT","CHE","HFA","TLV","INQ","N/A","Not Feasible"
"IIA","CHE","RPN","BEV","IOM","IIA","5826","A320"
"BYT","TLV","VDA","ETH","IOM","BYT","5826","A321"
"CHE","HFA","SDV","TLV","BEV","CHE","5244","A330"
"IOM","CRV","RPN","BEV","ETH","IOM","6151","737"
"TLV","VDA","ETH","BRI","HFA","TLV","2440","747"
"BEV","FOG","HFA","RPN","SDV","BEV","2515","757"
"ETH","TAR","CRV","RPN","VDA","ETH","2522","767"
"HFA","SDV","VDA","BRI","LCC","HFA","2429","777"
"RPN","PSR","FOG","CRV","SDV","RPN","2761","BAE146"
"VDA","BRI","BDS","TAR","CRV","VDA","2732","DC8"
"SDV","SUF","FOG","BRI","LCC","SDV","2720","F50"
"CRV","TAR","FOG","PSR","CTA","CRV","1315","MD11"
"BRI","TAR","BDS","LCC","LMP","BRI","1622","A400M"
"FOG","LCC","SUF","PNL","PSR","FOG","1724","C212"
"TAR","BDS","PSR","PMO","CTA","TAR","1484","V22"
"LCC","BDS","SUF","LMP","REG","LCC","1503","BB1"
"PSR","SUF","CTA","PNL","TPS","PSR","1553","BA10"
"BDS","CTA","NSY","LMP","PMO","BDS","1542","SIS99"
"SUF","AHO","PNL","LMP","REG","SUF","1891","SAH"
"CTA","PNL","DCI","TPS","PMO","CTA","1262","A319"
"LMP","CAG","PMO","REG","NSY","LMP","1509","A320"
"PNL","TPS","REG","OLB","AHO","PNL","1656","A321"
"PMO","NSY","TPS","DCI","TTB","PMO","1186","A330"
"REG","NSY","CAG","AHO","MXP","REG","2387","737"
"TPS","DCI","AHO","BGY","OLB","TPS","2018","747"
"NSY","CAG","DCI","TTB","TRN","NSY","2318","757"
"AHO","CAG","OLB","MXP","ALL","AHO","1444","767"
"DCI","TTB","OLB","BGY","GOA","DCI","1444","777"
"CAG","TTB","LIN","MXP","TRN","CAG","1520","BAE146"
"OLB","PMF","BGY","MXP","ALL","OLB","1171","DC8"
"TTB","QPZ","BGY","TRN","GOA","TTB","1439","F50"
"MXP","TRN","CUF","ALL","LIN","MXP","462","MD11"
"BGY","ALL","GOA","PMF","AVB","BGY","863","A400M"
"TRN","GOA","QPZ","BZO","LIN","TRN","753","C212"
"ALL","BLQ","PMF","LIN","CUF","ALL","677","V22"
"GOA","PMF","TSF","AVB","QPZ","GOA","695","BB1"
"LIN","CUF","QPZ","FRL","BZO","LIN","987","BA10"
"PMF","CUF","VBS","AVB","BLQ","PMF","914","SIS99"
"QPZ","BZO","AVB","TRS","TSF","QPZ","701","SAH"
"CUF","BZO","RMI","FRL","BLQ","CUF","1056","A319"
"AVB","TSF","BLQ","VBS","VIC","AVB","509","A320"
"BZO","TSF","QPA","FRL","TRS","BZO","675","A321"
"BLQ","FRL","RMI","VRN","VBS","BLQ","490","A330"
"TSF","TRS","VCE","VBS","VIC","TSF","498","737"
"FRL","SAY","RMI","TRS","QPA","FRL","742","747"
"VBS","CIA","RMI","VIC","VRN","VBS","976","757"
"TRS","FCO","VIC","QPA","VCE","TRS","1046","767"
"RMI","QPA","VRN","EBA","SAY","RMI","772","777"
"VIC","VRN","CIA","QLT","VCE","VIC","1019","BAE146"
"QPA","VCE","NAP","FCO","SAY","QPA","1198","DC8"
